case,variant,trial,maxrss_raw,rss_platform,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
cosine-1000x128,baseline,0,19939328,darwin,distance_mixed,10000,1.065,0.083,0.084,0.084,9386736.4,0,0,823117,0,NaN
cosine-1000x128,baseline,0,19939328,darwin,build,1000,667.705,658.208,1205.875,1417.834,1497.7,340608,3448808,4952597,0,NaN
cosine-1000x128,baseline,0,19939328,darwin,query,100,16.642,165.000,185.958,193.750,6008.8,1800,0,4190005,0,1.00000
cosine-1000x128,baseline,0,19939328,darwin,flush,1000,1.433,1432.875,1432.875,1432.875,697897.6,2183,923811,9189539,876235,NaN
cosine-1000x128,baseline,0,19939328,darwin,load,1000,6.687,6686.750,6686.750,6686.750,149549.5,6959,3320250,8366895,876235,NaN
cosine-1000x128,baseline,0,19939328,darwin,query_reloaded,100,18.972,183.500,224.875,276.958,5271.0,1800,0,8434425,0,1.00000
cosine-1000x128,baseline,0,19939328,darwin,remove,199,6.462,29.541,51.583,72.042,30794.6,43442,-2138336,4341804,0,NaN
cosine-1000x128,baseline,0,19939328,darwin,query_deleted,100,13.623,135.250,147.833,158.375,7340.3,1600,0,2002388,0,1.00000
cosine-1000x128,baseline,0,19939328,darwin,reinsert,199,105.577,488.958,791.042,932.209,1884.9,59154,2176728,4611508,0,NaN
cosine-1000x128,baseline,0,19939328,darwin,query_reinserted,100,16.748,160.333,207.500,248.334,5970.8,1800,0,4214444,0,1.00000
cosine-1000x128,baseline,1,19808256,darwin,distance_mixed,10000,1.060,0.083,0.084,0.084,9431737.8,0,0,823117,0,NaN
cosine-1000x128,baseline,1,19808256,darwin,build,1000,665.928,655.833,1189.792,1356.583,1501.7,340608,3448808,4952597,0,NaN
cosine-1000x128,baseline,1,19808256,darwin,query,100,16.306,162.959,167.375,172.625,6132.9,1800,0,4190005,0,1.00000
cosine-1000x128,baseline,1,19808256,darwin,flush,1000,1.434,1433.959,1433.959,1433.959,697370.0,2183,923811,9189539,876235,NaN
cosine-1000x128,baseline,1,19808256,darwin,load,1000,4.330,4330.417,4330.417,4330.417,230924.6,6959,3320250,8366895,876235,NaN
cosine-1000x128,baseline,1,19808256,darwin,query_reloaded,100,17.284,170.209,190.375,195.167,5785.6,1800,0,8434425,0,1.00000
cosine-1000x128,baseline,1,19808256,darwin,remove,199,6.628,30.542,51.250,63.667,30023.0,43442,-2138336,4341804,0,NaN
cosine-1000x128,baseline,1,19808256,darwin,query_deleted,100,12.700,126.875,129.916,130.500,7874.3,1600,0,2002388,0,1.00000
cosine-1000x128,baseline,1,19808256,darwin,reinsert,199,104.045,483.500,757.959,956.959,1912.6,59154,2176728,4611508,0,NaN
cosine-1000x128,baseline,1,19808256,darwin,query_reinserted,100,17.302,167.750,200.542,276.542,5779.5,1800,0,4214444,0,1.00000
cosine-1000x128,baseline,2,21233664,darwin,distance_mixed,10000,1.070,0.083,0.084,0.084,9342878.0,0,0,823117,0,NaN
cosine-1000x128,baseline,2,21233664,darwin,build,1000,674.699,659.458,1208.666,1422.666,1482.1,340608,3448808,4952597,0,NaN
cosine-1000x128,baseline,2,21233664,darwin,query,100,16.181,158.792,189.083,214.250,6180.0,1800,0,4190005,0,1.00000
cosine-1000x128,baseline,2,21233664,darwin,flush,1000,1.319,1318.792,1318.792,1318.792,758269.7,2183,923811,9189539,876235,NaN
cosine-1000x128,baseline,2,21233664,darwin,load,1000,4.473,4473.250,4473.250,4473.250,223551.1,6959,3320250,8366895,876235,NaN
cosine-1000x128,baseline,2,21233664,darwin,query_reloaded,100,16.094,160.417,169.500,193.416,6213.6,1800,0,8434425,0,1.00000
cosine-1000x128,baseline,2,21233664,darwin,remove,199,6.685,31.417,56.041,74.000,29769.4,43442,-2138336,4341804,0,NaN
cosine-1000x128,baseline,2,21233664,darwin,query_deleted,100,13.123,130.333,136.958,166.416,7620.2,1600,0,2002388,0,1.00000
cosine-1000x128,baseline,2,21233664,darwin,reinsert,199,104.806,485.625,782.416,936.709,1898.8,59154,2176728,4611508,0,NaN
cosine-1000x128,baseline,2,21233664,darwin,query_reinserted,100,17.068,167.625,179.083,220.916,5859.0,1800,0,4214444,0,1.00000
cosine-1000x128,current,0,14663680,darwin,distance_mixed,10000,2.604,0.250,0.250,0.292,3840369.7,0,0,823117,0,NaN
cosine-1000x128,current,0,14663680,darwin,build,1000,580.309,564.792,995.834,1154.250,1723.2,393038,2963712,4374645,0,NaN
cosine-1000x128,current,0,14663680,darwin,query,100,11.570,115.375,121.084,123.875,8643.0,100,0,3688613,0,1.00000
cosine-1000x128,current,0,14663680,darwin,flush,1000,1.427,1426.708,1426.708,1426.708,700914.3,2199,929016,4648798,881264,NaN
cosine-1000x128,current,0,14663680,darwin,load,1000,7.887,7886.625,7886.625,7886.625,126797.0,21208,2823826,7594548,881264,NaN
cosine-1000x128,current,0,14663680,darwin,query_reloaded,100,11.487,114.250,122.500,127.875,8705.3,100,0,7441817,0,1.00000
cosine-1000x128,current,0,14663680,darwin,remove,199,11.243,55.792,72.292,77.666,17699.4,52805,-529280,3810519,0,NaN
cosine-1000x128,current,0,14663680,darwin,query_deleted,100,9.781,97.625,102.417,103.667,10224.1,100,0,3145383,0,1.00000
cosine-1000x128,current,0,14663680,darwin,reinsert,199,92.935,446.542,610.542,749.500,2141.3,70367,548056,4008895,0,NaN
cosine-1000x128,current,0,14663680,darwin,query_reinserted,100,12.469,124.542,127.667,128.125,8020.0,100,0,3693439,0,1.00000
cosine-1000x128,current,1,14319616,darwin,distance_mixed,10000,2.569,0.209,0.250,0.250,3893133.5,0,0,823117,0,NaN
cosine-1000x128,current,1,14319616,darwin,build,1000,589.946,572.208,997.250,1202.417,1695.1,393038,2963712,4374645,0,NaN
cosine-1000x128,current,1,14319616,darwin,query,100,11.755,116.250,124.459,148.375,8507.0,100,0,3688613,0,1.00000
cosine-1000x128,current,1,14319616,darwin,flush,1000,1.499,1499.209,1499.209,1499.209,667018.4,2199,929016,4648798,881264,NaN
cosine-1000x128,current,1,14319616,darwin,load,1000,7.932,7931.708,7931.708,7931.708,126076.2,21208,2823826,7594548,881264,NaN
cosine-1000x128,current,1,14319616,darwin,query_reloaded,100,11.606,113.041,124.125,189.083,8616.4,100,0,7441817,0,1.00000
cosine-1000x128,current,1,14319616,darwin,remove,199,11.201,54.000,77.791,90.416,17766.7,52805,-529280,3810519,0,NaN
cosine-1000x128,current,1,14319616,darwin,query_deleted,100,9.504,94.000,100.875,112.125,10521.6,100,0,3145383,0,1.00000
cosine-1000x128,current,1,14319616,darwin,reinsert,199,90.781,438.291,616.167,701.375,2192.1,70367,548056,4008895,0,NaN
cosine-1000x128,current,1,14319616,darwin,query_reinserted,100,12.447,124.500,127.958,129.125,8033.9,100,0,3693439,0,1.00000
cosine-1000x128,current,2,14254080,darwin,distance_mixed,10000,2.597,0.250,0.250,0.291,3850844.5,0,0,823117,0,NaN
cosine-1000x128,current,2,14254080,darwin,build,1000,573.417,563.167,990.875,1140.000,1743.9,393038,2963712,4374645,0,NaN
cosine-1000x128,current,2,14254080,darwin,query,100,11.728,117.584,122.083,123.917,8526.4,100,0,3688613,0,1.00000
cosine-1000x128,current,2,14254080,darwin,flush,1000,1.394,1393.709,1393.709,1393.709,717509.9,2199,929016,4648798,881264,NaN
cosine-1000x128,current,2,14254080,darwin,load,1000,7.728,7727.791,7727.791,7727.791,129403.1,21208,2823826,7594548,881264,NaN
cosine-1000x128,current,2,14254080,darwin,query_reloaded,100,11.318,110.792,124.208,126.250,8835.8,100,0,7441817,0,1.00000
cosine-1000x128,current,2,14254080,darwin,remove,199,11.366,54.583,79.125,93.958,17509.1,52805,-529280,3810519,0,NaN
cosine-1000x128,current,2,14254080,darwin,query_deleted,100,9.907,99.083,102.125,102.583,10093.9,100,0,3145383,0,1.00000
cosine-1000x128,current,2,14254080,darwin,reinsert,199,92.245,439.250,651.125,710.250,2157.3,70367,548056,4008895,0,NaN
cosine-1000x128,current,2,14254080,darwin,query_reinserted,100,11.819,116.833,126.542,134.500,8460.6,100,0,3693439,0,1.00000
delete-sparse-10000x128,baseline,0,91275264,darwin,distance_mixed,10000,0.973,0.042,0.084,0.084,10272213.7,0,0,5799757,0,NaN
delete-sparse-10000x128,baseline,0,91275264,darwin,build,10000,341.499,31.041,64.166,84.792,29282.6,513834,14140976,19947821,0,NaN
delete-sparse-10000x128,baseline,0,91275264,darwin,query,100,1.596,13.833,33.542,40.875,62663.2,969,0,19797797,0,0.07000
delete-sparse-10000x128,baseline,0,91275264,darwin,flush,10000,19.082,19082.333,19082.333,19082.333,524044.9,21682,4781132,66120932,4333644,NaN
delete-sparse-10000x128,baseline,0,91275264,darwin,load,10000,26.349,26348.584,26348.584,26348.584,379527.0,60048,14076738,38780988,4333644,NaN
delete-sparse-10000x128,baseline,0,91275264,darwin,query_reloaded,100,1.733,15.125,35.500,47.750,57688.2,969,0,38656026,0,0.07000
delete-sparse-10000x128,baseline,0,91275264,darwin,remove,1999,94.052,41.958,77.750,93.958,21254.3,10602,-2724408,19658980,0,NaN
delete-sparse-10000x128,baseline,0,91275264,darwin,query_deleted,100,1.452,9.750,25.833,57.084,68870.5,843,0,16901508,0,0.02000
delete-sparse-10000x128,baseline,0,91275264,darwin,reinsert,1999,62.584,27.792,59.542,76.292,31941.1,102732,2746264,19708092,0,NaN
delete-sparse-10000x128,baseline,0,91275264,darwin,query_reinserted,100,1.653,13.500,40.708,54.292,60514.4,963,0,19647772,0,0.04500
delete-sparse-10000x128,current,0,30195712,darwin,distance_mixed,10000,2.235,0.208,0.209,0.375,4473690.5,0,0,5799757,0,NaN
delete-sparse-10000x128,current,0,30195712,darwin,build,10000,310.680,30.667,42.209,47.958,32187.5,769775,5994640,11803661,0,NaN
delete-sparse-10000x128,current,0,30195712,darwin,query,100,1.228,11.750,17.334,19.292,81400.1,100,0,11650621,0,0.05500
delete-sparse-10000x128,current,0,30195712,darwin,flush,10000,7.613,7613.333,7613.333,7613.333,1313485.2,21702,4832105,16881599,4384457,NaN
delete-sparse-10000x128,current,0,30195712,darwin,load,10000,26.424,26423.584,26423.584,26423.584,378449.8,118365,5787454,23468461,4384457,NaN
delete-sparse-10000x128,current,0,30195712,darwin,query_reloaded,100,1.284,12.000,18.584,20.667,77858.9,100,0,22270542,0,0.05500
delete-sparse-10000x128,current,0,30195712,darwin,remove,1999,7.017,0.458,11.542,57.125,284884.7,39303,-901392,11535915,0,NaN
delete-sparse-10000x128,current,0,30195712,darwin,query_deleted,100,1.023,9.500,16.416,20.458,97707.9,100,0,10577335,0,0.04000
delete-sparse-10000x128,current,0,30195712,darwin,reinsert,1999,71.509,35.000,44.375,56.250,27954.6,152776,1167768,11782831,0,NaN
delete-sparse-10000x128,current,0,30195712,darwin,query_reinserted,100,1.268,11.875,18.791,22.667,78887.7,100,0,11745103,0,0.04500
euclidean-1000x128,baseline,0,20758528,darwin,distance_mixed,10000,0.895,0.042,0.084,0.084,11176306.2,0,0,823117,0,NaN
euclidean-1000x128,baseline,0,20758528,darwin,build,1000,454.247,443.208,840.750,1068.833,2201.4,340216,3424024,4896557,0,NaN
euclidean-1000x128,baseline,0,20758528,darwin,query,100,12.549,126.416,132.083,142.792,7968.9,1761,0,4165221,0,1.00000
euclidean-1000x128,baseline,0,20758528,darwin,flush,1000,1.511,1510.625,1510.625,1510.625,661977.7,2183,917656,9158392,869872,NaN
euclidean-1000x128,baseline,0,20758528,darwin,load,1000,5.592,5591.542,5591.542,5591.542,178841.5,6948,3297722,8313429,869872,NaN
euclidean-1000x128,baseline,0,20758528,darwin,query_reloaded,100,13.732,139.125,143.625,145.125,7282.0,1761,0,8380961,0,1.00000
euclidean-1000x128,baseline,0,20758528,darwin,remove,199,5.924,26.750,50.459,67.292,33594.8,33143,-1848536,4302263,0,NaN
euclidean-1000x128,baseline,0,20758528,darwin,query_deleted,100,10.256,102.041,107.625,112.000,9750.1,1600,0,2267615,0,1.00000
euclidean-1000x128,baseline,0,20758528,darwin,reinsert,199,103.002,492.625,857.208,953.791,1932.0,63533,1805112,4583831,0,NaN
euclidean-1000x128,baseline,0,20758528,darwin,query_reinserted,100,13.074,131.709,137.167,138.375,7648.7,1764,0,4108055,0,0.99500
euclidean-1000x128,baseline,1,20774912,darwin,distance_mixed,10000,0.792,0.042,0.084,0.084,12630249.4,0,0,823117,0,NaN
euclidean-1000x128,baseline,1,20774912,darwin,build,1000,466.917,452.500,897.208,1204.000,2141.7,340216,3424024,4909197,0,NaN
euclidean-1000x128,baseline,1,20774912,darwin,query,100,12.473,125.791,130.625,131.666,8017.5,1761,0,4165221,0,1.00000
euclidean-1000x128,baseline,1,20774912,darwin,flush,1000,1.406,1406.291,1406.291,1406.291,711090.4,2183,917656,9158392,869872,NaN
euclidean-1000x128,baseline,1,20774912,darwin,load,1000,4.320,4319.542,4319.542,4319.542,231506.0,6948,3297722,8313429,869872,NaN
euclidean-1000x128,baseline,1,20774912,darwin,query_reloaded,100,14.067,141.833,147.250,150.000,7108.7,1761,0,8380961,0,1.00000
euclidean-1000x128,baseline,1,20774912,darwin,remove,199,5.276,23.541,42.959,60.917,37715.9,33143,-1848536,4302263,0,NaN
euclidean-1000x128,baseline,1,20774912,darwin,query_deleted,100,10.247,102.334,105.834,106.417,9759.2,1600,0,2267615,0,1.00000
euclidean-1000x128,baseline,1,20774912,darwin,reinsert,199,99.822,484.708,851.792,963.750,1993.5,63533,1805112,4583831,0,NaN
euclidean-1000x128,baseline,1,20774912,darwin,query_reinserted,100,12.967,130.917,135.291,138.000,7711.7,1764,0,4108055,0,0.99500
euclidean-1000x128,baseline,2,21135360,darwin,distance_mixed,10000,0.801,0.042,0.084,0.084,12487652.8,0,0,823117,0,NaN
euclidean-1000x128,baseline,2,21135360,darwin,build,1000,452.392,440.917,827.125,1041.042,2210.5,340216,3424024,4909197,0,NaN
euclidean-1000x128,baseline,2,21135360,darwin,query,100,12.734,126.417,144.541,162.208,7853.2,1761,0,4165221,0,1.00000
euclidean-1000x128,baseline,2,21135360,darwin,flush,1000,1.525,1525.166,1525.166,1525.166,655666.3,2183,917656,9158392,869872,NaN
euclidean-1000x128,baseline,2,21135360,darwin,load,1000,4.369,4369.333,4369.333,4369.333,228867.9,6948,3297722,8313429,869872,NaN
euclidean-1000x128,baseline,2,21135360,darwin,query_reloaded,100,14.075,141.625,147.333,148.375,7104.9,1761,0,8380961,0,1.00000
euclidean-1000x128,baseline,2,21135360,darwin,remove,199,5.790,25.834,52.666,68.208,34367.4,33143,-1848536,4302263,0,NaN
euclidean-1000x128,baseline,2,21135360,darwin,query_deleted,100,10.294,101.584,108.584,126.250,9714.1,1600,0,2267615,0,1.00000
euclidean-1000x128,baseline,2,21135360,darwin,reinsert,199,100.778,486.250,869.916,978.000,1974.6,63533,1805112,4583831,0,NaN
euclidean-1000x128,baseline,2,21135360,darwin,query_reinserted,100,13.005,130.667,135.750,136.500,7689.6,1764,0,4108055,0,0.99500
euclidean-1000x128,current,0,14008320,darwin,distance_mixed,10000,2.117,0.167,0.209,0.209,4722735.3,0,0,823117,0,NaN
euclidean-1000x128,current,0,14008320,darwin,build,1000,517.452,511.000,941.542,1207.000,1932.5,393309,3180080,4586077,0,NaN
euclidean-1000x128,current,0,14008320,darwin,query,100,11.044,110.334,114.875,125.375,9054.3,100,0,3904981,0,0.99500
euclidean-1000x128,current,0,14008320,darwin,flush,1000,1.487,1486.709,1486.709,1486.709,672626.6,2199,922942,4858884,874985,NaN
euclidean-1000x128,current,0,14008320,darwin,load,1000,8.040,8039.583,8039.583,8039.583,124384.6,20788,2698194,7679213,874985,NaN
euclidean-1000x128,current,0,14008320,darwin,query_reloaded,100,10.514,102.875,111.708,128.208,9511.5,100,0,7526482,0,0.99500
euclidean-1000x128,current,0,14008320,darwin,remove,199,11.054,45.208,121.584,192.708,18002.7,51292,-553200,4368730,0,NaN
euclidean-1000x128,current,0,14008320,darwin,query_deleted,100,9.042,89.625,95.000,98.250,11059.4,100,0,3338042,0,0.99500
euclidean-1000x128,current,0,14008320,darwin,reinsert,199,109.923,500.959,935.875,1220.291,1810.4,73772,562232,4589114,0,NaN
euclidean-1000x128,current,0,14008320,darwin,query_reinserted,100,11.700,117.250,120.209,121.167,8546.7,100,0,3900274,0,0.99500
euclidean-1000x128,current,1,13893632,darwin,distance_mixed,10000,2.166,0.208,0.209,0.209,4617781.6,0,0,823117,0,NaN
euclidean-1000x128,current,1,13893632,darwin,build,1000,512.234,508.417,918.958,1149.833,1952.2,393309,3180080,4586077,0,NaN
euclidean-1000x128,current,1,13893632,darwin,query,100,11.030,110.250,113.125,113.708,9066.2,100,0,3904981,0,0.99500
euclidean-1000x128,current,1,13893632,darwin,flush,1000,1.420,1419.708,1419.708,1419.708,704370.2,2199,922942,4858884,874985,NaN
euclidean-1000x128,current,1,13893632,darwin,load,1000,7.988,7987.791,7987.791,7987.791,125191.1,20788,2698194,7679213,874985,NaN
euclidean-1000x128,current,1,13893632,darwin,query_reloaded,100,10.972,109.583,112.458,113.458,9114.0,100,0,7526482,0,0.99500
euclidean-1000x128,current,1,13893632,darwin,remove,199,11.076,43.541,129.750,168.208,17967.0,51292,-553200,4368730,0,NaN
euclidean-1000x128,current,1,13893632,darwin,query_deleted,100,9.187,91.625,94.541,96.958,10884.6,100,0,3338042,0,0.99500
euclidean-1000x128,current,1,13893632,darwin,reinsert,199,110.303,500.458,935.833,1196.916,1804.1,73772,562232,4589114,0,NaN
euclidean-1000x128,current,1,13893632,darwin,query_reinserted,100,11.747,117.792,121.500,122.125,8512.5,100,0,3900274,0,0.99500
euclidean-1000x128,current,2,14073856,darwin,distance_mixed,10000,2.174,0.208,0.209,0.250,4599462.7,0,0,823117,0,NaN
euclidean-1000x128,current,2,14073856,darwin,build,1000,511.202,504.250,939.459,1214.000,1956.2,393309,3180080,4586077,0,NaN
euclidean-1000x128,current,2,14073856,darwin,query,100,11.067,110.625,113.875,114.792,9035.5,100,0,3904981,0,0.99500
euclidean-1000x128,current,2,14073856,darwin,flush,1000,1.444,1443.708,1443.708,1443.708,692660.8,2199,922942,4858884,874985,NaN
euclidean-1000x128,current,2,14073856,darwin,load,1000,7.993,7992.583,7992.583,7992.583,125116.0,20788,2698194,7679213,874985,NaN
euclidean-1000x128,current,2,14073856,darwin,query_reloaded,100,10.965,107.958,115.542,132.708,9119.7,100,0,7526482,0,0.99500
euclidean-1000x128,current,2,14073856,darwin,remove,199,11.883,45.792,152.167,195.792,16746.0,51292,-553200,4368730,0,NaN
euclidean-1000x128,current,2,14073856,darwin,query_deleted,100,8.846,86.750,97.125,104.458,11304.3,100,0,3338042,0,0.99500
euclidean-1000x128,current,2,14073856,darwin,reinsert,199,113.596,534.917,959.375,1261.584,1751.8,73772,562232,4589114,0,NaN
euclidean-1000x128,current,2,14073856,darwin,query_reinserted,100,11.571,116.375,120.458,122.291,8642.1,100,0,3900274,0,0.99500
inner-1000x384,current,0,17498112,darwin,distance_mixed,10000,5.927,0.500,0.500,0.584,1687146.7,0,0,2352831,0,NaN
inner-1000x384,current,0,17498112,darwin,build,1000,438.723,426.792,783.000,987.375,2279.3,397307,3844960,6377775,0,NaN
inner-1000x384,current,0,17498112,darwin,query,30,1.647,48.125,84.834,96.125,18216.3,30,0,6049815,0,1.00000
inner-1000x384,current,0,17498112,darwin,flush,1000,2.808,2807.500,2807.500,2807.500,356188.8,2199,1695004,7778458,1646220,NaN
inner-1000x384,current,0,17498112,darwin,load,1000,13.295,13295.334,13295.334,13295.334,75214.4,20804,3291066,11190610,1646220,NaN
inner-1000x384,current,0,17498112,darwin,query_reloaded,30,1.526,44.875,75.250,75.709,19661.9,30,0,11036255,0,1.00000
inner-1000x384,current,0,17498112,darwin,remove,199,273.698,1579.334,2871.291,3527.833,727.1,255554,-611512,6515993,0,NaN
inner-1000x384,current,0,17498112,darwin,query_deleted,30,1.237,36.833,59.125,64.583,24249.8,30,0,5425401,0,1.00000
inner-1000x384,current,0,17498112,darwin,reinsert,199,100.467,430.917,964.375,1477.208,1980.7,76821,691256,6369177,0,NaN
inner-1000x384,current,0,17498112,darwin,query_reinserted,30,2.175,67.000,110.959,111.167,13795.7,30,0,6116657,0,1.00000
