case,variant,trial,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
cosine-384,baseline,0,distance_mixed,10000,9.790,0.917,1.042,1.083,1021454.7,0,0,2463005,0,NaN
cosine-384,baseline,0,build,1000,1565.520,1534.917,2936.875,3733.916,638.8,398657,3537304,6635189,0,NaN
cosine-384,baseline,0,query,100,22.701,224.959,238.541,242.583,4405.1,100,0,5902093,0,1.00000
cosine-384,baseline,0,flush,1000,2.239,2239.042,2239.042,2239.042,446619.6,2207,1701016,7644569,1652972,NaN
cosine-384,baseline,0,load,1000,11.132,11131.500,11131.500,11131.500,89835.2,21413,3349306,11106483,1652972,NaN
cosine-384,baseline,0,query_reloaded,100,23.166,227.125,250.375,283.167,4316.6,100,0,10952776,0,1.00000
cosine-384,baseline,0,remove,199,12.042,58.459,85.750,111.792,16525.3,53943,-668112,6012550,0,NaN
cosine-384,baseline,0,query_deleted,100,19.331,185.541,214.792,300.000,5173.1,100,0,5220350,0,1.00000
cosine-384,baseline,0,reinsert,199,210.830,974.459,1591.958,1908.250,943.9,71484,636976,6342550,0,NaN
cosine-384,baseline,0,query_reinserted,100,23.753,228.709,294.125,362.875,4210.0,100,0,5857326,0,1.00000
cosine-384,baseline,1,distance_mixed,10000,6.547,0.625,0.667,0.709,1527349.0,0,0,2463005,0,NaN
cosine-384,baseline,1,build,1000,1563.256,1544.583,2916.125,3721.833,639.7,398657,3537304,6635189,0,NaN
cosine-384,baseline,1,query,100,23.599,230.459,262.250,333.917,4237.5,100,0,5902093,0,1.00000
cosine-384,baseline,1,flush,1000,2.420,2420.208,2420.208,2420.208,413187.6,2207,1701016,7644569,1652972,NaN
cosine-384,baseline,1,load,1000,11.368,11367.709,11367.709,11367.709,87968.5,21413,3349306,11106483,1652972,NaN
cosine-384,baseline,1,query_reloaded,100,23.472,228.792,261.875,294.833,4260.3,100,0,10952776,0,1.00000
cosine-384,baseline,1,remove,199,12.800,61.958,96.000,120.292,15547.0,53943,-668112,6012550,0,NaN
cosine-384,baseline,1,query_deleted,100,19.321,187.167,222.000,252.791,5175.7,100,0,5220350,0,1.00000
cosine-384,baseline,1,reinsert,199,211.964,990.000,1517.958,1840.042,938.8,71484,636976,6342550,0,NaN
cosine-384,baseline,1,query_reinserted,100,24.321,238.292,277.875,351.500,4111.7,100,0,5857326,0,1.00000
cosine-384,baseline,2,distance_mixed,10000,6.490,0.625,0.625,0.708,1540940.8,0,0,2463005,0,NaN
cosine-384,baseline,2,build,1000,1546.664,1534.750,2888.458,3664.417,646.6,398657,3537304,6635189,0,NaN
cosine-384,baseline,2,query,100,23.472,226.875,262.625,338.541,4260.4,100,0,5902093,0,1.00000
cosine-384,baseline,2,flush,1000,2.462,2461.583,2461.583,2461.583,406242.6,2207,1701016,7644569,1652972,NaN
cosine-384,baseline,2,load,1000,11.330,11330.041,11330.041,11330.041,88260.9,21413,3349306,11106483,1652972,NaN
cosine-384,baseline,2,query_reloaded,100,23.364,227.375,268.667,329.292,4280.1,100,0,10952776,0,1.00000
cosine-384,baseline,2,remove,199,12.542,59.291,91.000,123.334,15866.3,53943,-668112,6012550,0,NaN
cosine-384,baseline,2,query_deleted,100,19.493,189.791,223.458,298.500,5130.1,100,0,5220350,0,1.00000
cosine-384,baseline,2,reinsert,199,212.005,991.167,1604.958,1780.917,938.7,71484,636976,6342550,0,NaN
cosine-384,baseline,2,query_reinserted,100,23.908,231.667,269.958,320.333,4182.7,100,0,5857326,0,1.00000
cosine-768-reconnect,baseline,0,distance_mixed,10000,12.386,1.208,1.291,1.333,807384.9,0,0,4665373,0,NaN
cosine-768-reconnect,baseline,0,build,1000,2790.442,2747.792,5384.750,6880.125,358.4,398345,4260024,9574781,0,NaN
cosine-768-reconnect,baseline,0,query,100,38.791,380.500,435.375,494.417,2577.9,100,0,8827181,0,0.99750
cosine-768-reconnect,baseline,0,flush,1000,3.657,3657.166,3657.166,3657.166,273435.8,2207,2853028,11721469,2804784,NaN
cosine-768-reconnect,baseline,0,load,1000,16.135,16135.375,16135.375,16135.375,61975.6,21417,4118778,15953055,2804784,NaN
cosine-768-reconnect,baseline,0,query_reloaded,100,37.803,367.250,436.833,489.208,2645.3,100,0,15799348,0,0.99750
cosine-768-reconnect,baseline,0,remove,199,8414.832,40778.375,52463.125,74976.458,23.6,292007,-789056,13852910,0,NaN
cosine-768-reconnect,baseline,0,query_deleted,100,35.936,308.167,578.833,1034.041,2782.7,100,0,8024694,0,0.99750
cosine-768-reconnect,baseline,0,reinsert,199,702.171,2936.459,7284.416,8605.959,283.4,78840,847464,9670470,0,NaN
cosine-768-reconnect,baseline,0,query_reinserted,100,38.829,384.416,427.208,446.000,2575.4,100,0,8872158,0,0.99750
cosine-768-reconnect,baseline,1,distance_mixed,10000,12.201,1.208,1.250,1.333,819627.3,0,0,4665373,0,NaN
cosine-768-reconnect,baseline,1,build,1000,2727.119,2646.000,5325.459,6846.291,366.7,398345,4260024,9574781,0,NaN
cosine-768-reconnect,baseline,1,query,100,37.178,368.083,396.958,403.917,2689.8,100,0,8827181,0,0.99750
cosine-768-reconnect,baseline,1,flush,1000,3.341,3341.459,3341.459,3341.459,299270.5,2207,2853028,11721469,2804784,NaN
cosine-768-reconnect,baseline,1,load,1000,15.134,15134.208,15134.208,15134.208,66075.5,21417,4118778,15953055,2804784,NaN
cosine-768-reconnect,baseline,1,query_reloaded,100,36.638,365.084,372.542,385.833,2729.4,100,0,15799348,0,0.99750
cosine-768-reconnect,baseline,1,remove,199,7600.391,37955.042,47025.959,50792.208,26.2,292007,-789056,13852910,0,NaN
cosine-768-reconnect,baseline,1,query_deleted,100,29.999,299.167,305.042,308.041,3333.4,100,0,8024694,0,0.99750
cosine-768-reconnect,baseline,1,reinsert,199,656.987,2696.458,7023.209,8197.291,302.9,78840,847464,9670470,0,NaN
cosine-768-reconnect,baseline,1,query_reinserted,100,36.829,368.250,374.417,378.208,2715.3,100,0,8872158,0,0.99750
cosine-768-reconnect,baseline,2,distance_mixed,10000,12.161,1.167,1.250,1.334,822272.6,0,0,4665373,0,NaN
cosine-768-reconnect,baseline,2,build,1000,2693.839,2649.000,5181.875,6645.708,371.2,398345,4260024,9574781,0,NaN
cosine-768-reconnect,baseline,2,query,100,36.786,366.542,375.542,384.667,2718.4,100,0,8827181,0,0.99750
cosine-768-reconnect,baseline,2,flush,1000,3.403,3402.959,3402.959,3402.959,293861.9,2207,2853028,11721469,2804784,NaN
cosine-768-reconnect,baseline,2,load,1000,15.790,15790.167,15790.167,15790.167,63330.6,21417,4118778,15953055,2804784,NaN
cosine-768-reconnect,baseline,2,query_reloaded,100,37.009,366.250,376.958,501.333,2702.1,100,0,15799348,0,0.99750
cosine-768-reconnect,baseline,2,remove,199,7687.198,38538.083,47249.167,50306.167,25.9,292007,-789056,13852910,0,NaN
cosine-768-reconnect,baseline,2,query_deleted,100,30.885,303.167,333.250,358.291,3237.9,100,0,8024694,0,0.99750
cosine-768-reconnect,baseline,2,reinsert,199,673.859,2741.084,7245.833,8674.542,295.3,78840,847464,9670470,0,NaN
cosine-768-reconnect,baseline,2,query_reinserted,100,38.317,380.250,409.916,424.750,2609.8,100,0,8872158,0,0.99750
euclidean-128,baseline,0,distance_mixed,10000,2.236,0.208,0.209,0.250,4471356.0,0,0,824093,0,NaN
euclidean-128,baseline,0,build,1000,539.761,534.000,968.833,1266.750,1852.7,397903,3236744,4613837,0,NaN
euclidean-128,baseline,0,query,100,12.532,124.042,132.208,138.250,7979.7,100,0,3962621,0,0.99750
euclidean-128,baseline,0,flush,1000,1.372,1372.083,1372.083,1372.083,728818.9,2207,925934,4930431,878308,NaN
euclidean-128,baseline,0,load,1000,7.671,7671.500,7671.500,7671.500,130352.6,20996,2714650,7757275,878308,NaN
euclidean-128,baseline,0,query_reloaded,100,13.072,127.417,148.833,153.458,7650.2,100,0,7603568,0,0.99750
euclidean-128,baseline,0,remove,199,10.827,41.917,126.500,191.667,18380.3,51975,-589616,4432544,0,NaN
euclidean-128,baseline,0,query_deleted,100,10.257,101.875,107.292,109.459,9749.9,100,0,3358960,0,0.99750
euclidean-128,baseline,0,reinsert,199,116.841,546.000,1001.459,1286.625,1703.2,74723,553472,4616752,0,NaN
euclidean-128,baseline,0,query_reinserted,100,12.940,128.167,136.792,144.709,7728.2,100,0,3912432,0,0.99750
euclidean-128,baseline,1,distance_mixed,10000,2.190,0.208,0.209,0.209,4565949.4,0,0,824093,0,NaN
euclidean-128,baseline,1,build,1000,544.082,533.959,989.375,1252.084,1838.0,397903,3236744,4613837,0,NaN
euclidean-128,baseline,1,query,100,12.396,123.166,129.458,131.500,8066.9,100,0,3962621,0,0.99750
euclidean-128,baseline,1,flush,1000,1.344,1343.542,1343.542,1343.542,744301.3,2207,925934,4930431,878308,NaN
euclidean-128,baseline,1,load,1000,7.618,7617.917,7617.917,7617.917,131269.5,20996,2714650,7757275,878308,NaN
euclidean-128,baseline,1,query_reloaded,100,12.371,122.584,130.375,137.625,8083.6,100,0,7603568,0,0.99750
euclidean-128,baseline,1,remove,199,10.588,41.542,120.833,163.333,18795.7,51975,-589616,4432544,0,NaN
euclidean-128,baseline,1,query_deleted,100,10.786,104.709,121.500,129.709,9271.1,100,0,3358960,0,0.99750
euclidean-128,baseline,1,reinsert,199,116.519,525.833,1011.625,1285.709,1707.9,74723,553472,4616752,0,NaN
euclidean-128,baseline,1,query_reinserted,100,12.944,127.458,137.250,170.667,7725.5,100,0,3912432,0,0.99750
euclidean-128,baseline,2,distance_mixed,10000,2.231,0.208,0.209,0.250,4481375.0,0,0,824093,0,NaN
